000000000000,000000000000,-02151,001388,000749,-00007,-00004,000002,000002,000001,000001,000000,000000,000001,000000,000001,-00001,-00001
000000000001,000000000100,-02164,001328,000823,-00008,-00003,-00010,000003,-00001,000001,000001,000001,000000,000001,000001,-00001,000000
000000000002,000000000200,-02173,001267,000889,-00009,-00011,-00003,000000,-00003,000001,000000,000001,000001,000001,000001,000000,000000
000000000003,000000000300,-02184,001211,000957,-00008,-00008,-00003,-00003,000006,-00002,000000,-00003,-00002,000001,-00001,-00001,-00002
000000000004,000000000400,-02193,001157,001021,-00008,-00003,-00007,-00005,-00005,000001,000001,000000,000001,000001,000001,-00001,000000
000000000005,000000000500,-02200,001107,001077,-00008,000000,-00003,-00005,-00003,000000,000001,000001,000000,000000,000001,-00001,000000
000000000006,000000000600,-02201,001057,001127,-00007,-00001,-00007,-00006,000001,000001,000000,000002,000000,000001,000000,-00001,-00001
000000000007,000000000700,-02197,001007,001171,-00008,000000,000002,-00005,-00009,000000,000000,000000,000000,000000,000000,-00002,-00001
000000000008,000000000800,-02190,000956,001217,-00007,000005,-00003,-00004,-00004,000002,000000,000000,000001,000001,000000,-00001,-00001
000000000009,000000000900,-02182,000901,001263,-00009,000005,-00001,-00006,-00001,000000,000000,000000,000000,000000,000000,-00001,000000
000000000010,000000001000,-02174,000845,001310,-00009,000000,-00005,-00011,-00011,000001,000000,000001,000001,000000,000000,-00002,000000
000000000011,000000001100,-02164,000786,001359,-00007,-00005,000000,-00013,-00001,000001,000001,000001,000001,000000,000001,-00001,000000
000000000012,000000001200,-02155,000719,001413,-00007,-00003,-00007,-00011,-00001,000000,000000,-00002,-00001,000000,000000,-00002,-00001
000000000013,000000001300,-02142,000646,001473,-00007,-00004,000000,-00007,-00005,000001,000000,000000,000000,000001,000001,-00001,000000
000000000014,000000001400,-02127,000573,001532,-00008,-00005,-00011,-00004,000005,000000,000001,-00001,000000,000001,000000,-00001,-00001
000000000015,000000001500,-02112,000498,001591,-00008,-00010,000003,-00004,-00002,000001,000001,000000,000001,-00001,000000,000000,000000
000000000016,000000001600,-02088,000422,001643,-00008,-00005,-00011,-00003,-00002,000001,000001,000001,000001,-00001,000000,000000,-00001
000000000017,000000001700,-02059,000345,001691,-00009,000001,000001,-00005,000003,000003,000002,000003,000002,000001,000001,000000,000000
000000000018,000000001800,-02025,000268,001729,-00009,000001,-00007,-00005,-00007,000001,000000,000000,000000,000001,000000,-00001,-00001
000000000019,000000001900,-01986,000197,001765,-00007,000000,-00003,-00002,-00005,000000,-00001,000000,000001,000000,000000,-00003,000000
000000000020,000000002000,-01949,000129,001793,-00008,000002,000001,000002,000000,000001,000001,000000,000001,000001,000001,-00001,000000
000000000021,000000002100,-01908,000064,001817,-00007,000007,-00001,000005,-00011,-00001,000002,000000,000000,000000,000000,-00001,-00001
000000000022,000000002200,-01871,000001,001846,-00008,000005,000000,000001,-00003,-00001,-00001,-00001,-00001,-00001,-00001,-00002,000000
000000000023,000000002300,-01837,-00062,001873,-00008,-00002,-00007,000000,-00002,000001,000000,000000,000000,-00001,000001,-00002,-00001
000000000024,000000002400,-01805,-00124,001903,-00007,-00005,-00003,-00005,-00011,000002,000000,000000,000000,000001,000000,000000,-00001
000000000025,000000002500,-01774,-00187,001936,-00009,-00005,-00007,-00007,000001,000000,000001,000000,000002,000000,000000,-00002,000000
000000000026,000000002600,-01744,-00254,001970,-00008,-00003,-00002,-00006,-00002,000000,000002,000000,-00001,-00001,-00001,-00001,-00001
000000000027,000000002700,-01712,-00317,002004,-00009,-00007,-00009,-00003,-00004,000000,000000,000000,000000,000000,000000,000000,-00001
000000000028,000000002800,-01680,-00382,002036,-00007,-00011,000001,-00003,000006,000000,000001,000000,000000,000000,000001,000000,000000
000000000029,000000002900,-01638,-00447,002063,-00007,-00005,-00010,-00006,-00005,000001,000000,000000,000001,000000,000000,000000,-00001
000000000030,000000003000,-01592,-00517,002085,-00007,000001,000003,-00008,-00002,000000,000000,000001,000000,000000,-00001,-00001,000000
000000000031,000000003100,-01538,-00590,002102,-00008,000000,-00012,-00012,000001,000001,000001,000001,000001,-00001,-00001,-00001,-00001
000000000032,000000003200,-01480,-00664,002120,-00006,000002,000004,-00008,-00008,000001,000000,000002,000001,000001,-00001,-00001,000000
000000000033,000000003300,-01421,-00745,002138,-00007,000003,-00003,-00007,-00005,000001,000000,000000,000000,000001,000000,-00001,000000
000000000034,000000003400,-01358,-00820,002151,-00009,000008,000000,-00005,-00002,000001,-00001,-00001,-00001,000000,000000,000000,000000
000000000035,000000003500,-01298,-00894,002166,-00008,000004,000000,-00003,-00009,000001,000001,000000,000000,-00001,000000,-00002,000000
000000000036,000000003600,-01242,-00964,002177,-00008,-00003,-00007,-00004,-00001,000001,000000,000001,000001,-00001,000000,-00002,-00001
000000000037,000000003700,-01188,-01033,002189,-00008,-00004,-00001,-00006,-00003,000001,000000,000000,000001,000000,000000,-00002,-00001
000000000038,000000003800,-01138,-01092,002199,-00008,-00006,-00009,-00007,-00007,000001,000001,000000,000000,-00001,000001,-00002,000000
000000000039,000000003900,-01088,-01144,002202,-00010,-00003,-00003,-00003,000004,000001,000000,000000,000001,000001,-00001,-00001,000000
000000000040,000000004000,-01041,-01192,002201,-00007,-00007,-00007,000000,-00003,-00001,000000,000001,-00001,000000,000001,-00001,-00001
